total_timesteps,entropy_loss,eval_mean_reward
1000,,-2.900000
2000,,-2.900000
3000,,-5.590000
4000,,-5.590000
5000,,-5.390000
6000,,-5.390000
7000,,-5.390000
8000,,-5.390000
9000,,-5.190000
10000,,-5.190000
11000,,-5.390000
12000,,-5.390000
13000,,-43.190000
14000,,-43.190000
15000,,-6.190000
16000,,-6.190000
17000,,-5.190000
18000,,-5.190000
19000,,-5.190000
20000,,-5.190000
21000,,-5.790000
22000,,-5.790000
23000,,-33.500000
24000,,-33.500000
25000,,-5.790000
26000,,-5.790000
27000,,-4.700000
28000,,-4.700000
29000,,-4.700000
30000,,-4.700000
31000,,-4.700000
32000,,-4.700000
33000,,-5.090000
34000,,-5.090000
35000,,-5.090000
36000,,-5.090000
37000,,-4.100000
38000,,-4.100000
39000,,-4.700000
40000,,-4.700000
41000,,-5.290000
42000,,-5.290000
43000,,-5.290000
44000,,-5.290000
45000,,-5.290000
46000,,-5.590000
47000,,-5.590000
48000,,-4.800000
49000,,-4.800000
50000,,-4.400000
51000,,-4.400000
52000,,-4.400000
53000,,-4.400000
54000,,-4.400000
55000,,-4.400000
56000,,-4.400000
57000,,-4.400000
58000,,-5.190000
59000,,-5.190000
60000,,-4.800000
61000,,-4.800000
62000,,-5.790000
63000,,-5.790000
64000,,-5.990000
65000,,-5.990000
66000,,-5.990000
67000,,-5.990000
68000,,-5.790000
69000,,-5.790000
70000,,-5.690000
71000,,-5.690000
72000,,-5.690000
73000,,-5.690000
74000,,-5.690000
75000,,-5.690000
76000,,-5.690000
77000,,-5.690000
78000,,-5.690000
79000,,-5.690000
80000,,-5.690000
81000,,-5.690000
82000,,-5.690000
83000,,-5.690000
84000,,-5.490000
85000,,-5.490000
86000,,-5.490000
87000,,20.910000
88000,,20.910000
89000,,11.910000
90000,,11.910000
91000,,11.910000
92000,,11.910000
93000,,0.610000
94000,,0.610000
95000,,20.410000
96000,,20.410000
97000,,-8.290000
98000,,-8.290000
99000,,-5.990000
100000,,-5.990000
101000,,11.610000
102000,,11.610000
103000,,11.610000
104000,,11.610000
105000,,-8.590000
106000,,-8.590000
107000,,11.910000
108000,,11.910000
109000,,12.210000
110000,,12.210000
111000,,-5.690000
112000,,-5.690000
113000,,-5.590000
114000,,-5.590000
115000,,11.910000
116000,,11.910000
117000,,11.910000
118000,,11.910000
119000,,-16.890000
120000,,-16.890000
121000,,21.310000
122000,,21.310000
123000,,3.110000
124000,,3.110000
125000,,3.110000
126000,,3.110000
127000,,38.000000
128000,,38.000000
129000,,38.000000
130000,,11.910000
131000,,11.910000
132000,,20.710000
133000,,20.710000
134000,,12.110000
135000,,12.110000
136000,,11.810000
137000,,11.810000
138000,,0.210000
139000,,0.210000
140000,,3.110000
141000,,3.110000
142000,,-17.090000
143000,,-17.090000
144000,,11.910000
145000,,11.910000
146000,,20.610000
147000,,20.610000
148000,,29.810000
149000,,29.810000
150000,,11.910000
151000,,11.910000
152000,,29.710000
153000,,29.710000
154000,,12.110000
155000,,12.110000
156000,,-7.790000
157000,,-7.790000
158000,,21.210000
159000,,21.210000
160000,,12.410000
161000,,12.410000
162000,,12.110000
163000,,12.110000
164000,,12.410000
165000,,12.410000
166000,,12.310000
167000,,12.310000
168000,,21.510000
169000,,21.510000
170000,,12.110000
171000,,12.110000
172000,,12.110000
173000,,12.310000
174000,,12.310000
175000,,12.310000
176000,,12.310000
177000,,38.910000
178000,,38.910000
179000,,12.110000
180000,,12.110000
181000,,12.210000
182000,,12.210000
183000,,12.110000
184000,,12.110000
185000,,11.910000
186000,,11.910000
187000,,12.210000
188000,,12.210000
189000,,12.210000
190000,,12.210000
191000,,12.410000
192000,,12.410000
193000,,12.410000
194000,,12.410000
195000,,12.110000
196000,,12.110000
197000,,21.010000
198000,,21.010000
199000,,12.110000
200000,,12.110000
201000,,12.110000
202000,,12.110000
203000,,-4.090000
204000,,-4.090000
205000,,11.910000
206000,,11.910000
207000,,29.810000
208000,,29.810000
209000,,11.910000
210000,,11.910000
211000,,38.310000
212000,,38.310000
213000,,-5.690000
214000,,-5.690000
215000,,-5.690000
216000,,-5.690000
217000,,-5.690000
218000,,20.710000
219000,,20.710000
220000,,29.510000
221000,,29.510000
222000,,3.510000
223000,,3.510000
224000,,47.710000
225000,,47.710000
226000,,12.110000
227000,,12.110000
228000,,21.110000
229000,,21.110000
230000,,12.710000
231000,,12.710000
232000,,12.710000
233000,,12.710000
234000,,12.410000
235000,,12.410000
236000,,11.910000
237000,,11.910000
238000,,12.410000
239000,,12.410000
240000,,39.510000
241000,,39.510000
242000,,12.510000
243000,,12.510000
244000,,12.510000
245000,,12.510000
246000,,12.510000
247000,,12.510000
248000,,12.510000
249000,,12.510000
250000,,10.910000
251000,,10.910000
252000,,-6.690000
253000,,-6.690000
254000,,21.310000
255000,,21.310000
256000,,21.310000
257000,,21.610000
258000,,21.610000
259000,,21.610000
260000,,21.610000
261000,,12.210000
262000,,12.210000
263000,,21.210000
264000,,21.210000
265000,,21.210000
266000,,21.210000
267000,,38.810000
268000,,38.810000
269000,,12.210000
270000,,12.210000
271000,,12.210000
272000,,12.210000
273000,,12.210000
274000,,12.210000
275000,,-4.000000
276000,,-4.000000
277000,,12.210000
278000,,12.210000
279000,,48.610000
280000,,48.610000
281000,,48.210000
282000,,48.210000
283000,,92.000000
284000,,92.000000
285000,,47.910000
286000,,47.910000
287000,,48.010000
288000,,48.010000
289000,,39.310000
290000,,39.310000
291000,,27.710000
292000,,27.710000
293000,,48.610000
294000,,48.610000
295000,,48.010000
296000,,48.010000
297000,,66.210000
298000,,66.210000
299000,,66.210000
300000,,48.210000
301000,,48.210000
302000,,48.210000
303000,,48.210000
304000,,48.210000
305000,,48.210000
306000,,57.210000
307000,,57.210000
308000,,47.710000
309000,,47.710000
310000,,19.610000
311000,,19.610000
312000,,48.010000
313000,,48.010000
314000,,28.010000
315000,,28.010000
316000,,48.210000
317000,,48.210000
318000,,30.910000
319000,,30.910000
320000,,29.110000
321000,,29.110000
322000,,30.910000
323000,,30.910000
324000,,39.510000
325000,,39.510000
326000,,27.810000
327000,,27.810000
328000,,27.810000
329000,,27.810000
330000,,48.010000
331000,,48.010000
332000,,27.810000
333000,,27.810000
334000,,28.010000
335000,,28.010000
336000,,27.810000
337000,,27.810000
338000,,48.010000
339000,,48.010000
340000,,48.310000
341000,,48.310000
342000,,48.310000
343000,,39.910000
344000,,39.910000
345000,,39.910000
346000,,39.910000
347000,,48.310000
348000,,48.310000
349000,,48.010000
350000,,48.010000
351000,,39.610000
352000,,39.610000
353000,,48.210000
354000,,48.210000
355000,,39.610000
356000,,39.610000
357000,,39.610000
358000,,39.610000
359000,,38.810000
360000,,38.810000
361000,,39.310000
362000,,39.310000
363000,,45.410000
364000,,45.410000
365000,,48.210000
366000,,48.210000
367000,,39.610000
368000,,39.610000
369000,,39.310000
370000,,39.310000
371000,,39.610000
372000,,39.610000
373000,,48.210000
374000,,48.210000
375000,,83.510000
376000,,83.510000
377000,,101.300000
378000,,101.300000
379000,,83.510000
380000,,83.510000
381000,,43.510000
382000,,43.510000
383000,,83.510000
384000,,83.510000
385000,,83.510000
386000,,39.410000
387000,,39.410000
388000,,39.510000
389000,,39.510000
390000,,39.710000
391000,,39.710000
392000,,40.110000
393000,,40.110000
394000,,83.610000
395000,,83.610000
396000,,28.310000
397000,,28.310000
398000,,28.310000
399000,,28.310000
400000,,30.110000
401000,,30.110000
402000,,48.310000
403000,,48.310000
404000,,39.710000
405000,,39.710000
406000,,28.310000
407000,,28.310000
408000,,28.310000
409000,,28.310000
410000,,110.200000
411000,,110.200000
412000,,48.510000
413000,,48.510000
414000,,101.300000
415000,,101.300000
416000,,101.300000
417000,,101.300000
418000,,28.110000
419000,,28.110000
420000,,28.110000
421000,,28.110000
422000,,48.310000
423000,,48.310000
424000,,28.310000
425000,,28.310000
426000,,28.310000
427000,,28.310000
428000,,28.310000
429000,,48.510000
430000,,48.510000
431000,,48.510000
432000,,48.510000
433000,,48.510000
434000,,48.510000
435000,,39.710000
436000,,39.710000
437000,,28.310000
438000,,28.310000
439000,,37.110000
440000,,37.110000
441000,,48.310000
442000,,48.310000
443000,,28.010000
444000,,28.010000
445000,,66.310000
446000,,66.310000
447000,,28.310000
448000,,28.310000
449000,,28.110000
450000,,28.110000
451000,,28.310000
452000,,28.310000
453000,,28.310000
454000,,28.310000
455000,,83.510000
456000,,83.510000
457000,,83.710000
458000,,83.710000
459000,,74.400000
460000,,74.400000
461000,,101.300000
462000,,101.300000
463000,,44.710000
464000,,44.710000
465000,,42.710000
466000,,42.710000
467000,,83.710000
468000,,83.710000
469000,,37.110000
470000,,37.110000
471000,,37.110000
472000,,46.110000
473000,,46.110000
474000,,35.310000
475000,,35.310000
476000,,39.210000
477000,,39.210000
478000,,66.310000
479000,,66.310000
480000,,74.710000
481000,,74.710000
482000,,101.300000
483000,,101.300000
484000,,81.500000
485000,,81.500000
486000,,20.610000
487000,,20.610000
488000,,57.410000
489000,,57.410000
490000,,28.610000
491000,,28.610000
492000,,100.300000
493000,,100.300000
494000,,64.610000
495000,,64.610000
496000,,92.610000
497000,,92.610000
498000,,29.410000
499000,,29.410000
500000,,64.610000
501000,,64.610000
502000,,119.500000
503000,,119.500000
504000,,110.600000
505000,,110.600000
506000,,63.910000
507000,,63.910000
508000,,84.110000
509000,,84.110000
510000,,49.510000
511000,,49.510000
512000,,49.510000
513000,,49.510000
514000,,49.510000
515000,,84.110000
516000,,84.110000
517000,,110.600000
518000,,110.600000
519000,,110.600000
520000,,110.600000
521000,,110.600000
522000,,110.600000
523000,,110.600000
524000,,110.600000
525000,,110.600000
526000,,110.600000
527000,,110.600000
528000,,110.600000
529000,,110.500000
530000,,110.500000
531000,,101.710000
532000,,101.710000
533000,,110.600000
534000,,110.600000
535000,,103.600000
536000,,103.600000
537000,,49.310000
538000,,49.310000
539000,,100.500000
540000,,100.500000
541000,,84.110000
542000,,84.110000
543000,,84.110000
544000,,84.110000
545000,,49.110000
546000,,49.110000
547000,,111.310000
548000,,111.310000
549000,,119.500000
550000,,119.500000
551000,,93.110000
552000,,93.110000
553000,,93.510000
554000,,93.510000
555000,,93.510000
556000,,48.910000
557000,,48.910000
558000,,46.810000
559000,,46.810000
560000,,119.700000
561000,,119.700000
562000,,137.200000
563000,,137.200000
564000,,84.110000
565000,,84.110000
566000,,119.500000
567000,,119.500000
568000,,48.910000
569000,,48.910000
570000,,65.010000
571000,,65.010000
572000,,65.010000
573000,,65.010000
574000,,65.010000
575000,,65.010000
576000,,65.010000
577000,,65.010000
578000,,102.010000
579000,,102.010000
580000,,85.110000
581000,,85.110000
582000,,120.310000
583000,,120.310000
584000,,93.210000
585000,,93.210000
586000,,120.210000
587000,,120.210000
588000,,49.110000
589000,,49.110000
590000,,91.010000
591000,,91.010000
592000,,85.010000
593000,,85.010000
594000,,85.610000
595000,,85.610000
596000,,85.710000
597000,,85.710000
598000,,85.710000
599000,,85.710000
600000,,85.710000
601000,,112.110000
602000,,112.110000
603000,,111.510000
604000,,111.510000
605000,,120.810000
606000,,120.810000
607000,,145.800000
608000,,145.800000
609000,,120.810000
610000,,120.810000
611000,,112.610000
612000,,112.610000
613000,,157.610000
614000,,157.610000
615000,,157.610000
616000,,157.610000
617000,,112.010000
618000,,112.010000
619000,,130.210000
620000,,130.210000
621000,,130.210000
622000,,130.210000
623000,,130.210000
624000,,130.210000
625000,,137.910000
626000,,137.910000
627000,,165.200000
628000,,165.200000
629000,,85.610000
630000,,85.610000
631000,,148.210000
632000,,148.210000
633000,,121.110000
634000,,121.110000
635000,,120.810000
636000,,120.810000
637000,,120.810000
638000,,120.810000
639000,,120.810000
640000,,120.810000
641000,,120.810000
642000,,120.810000
643000,,120.810000
644000,,156.310000
645000,,156.310000
646000,,156.310000
647000,,156.310000
648000,,156.310000
649000,,156.310000
650000,,142.610000
651000,,142.610000
652000,,142.610000
653000,,142.610000
654000,,165.100000
655000,,165.100000
656000,,210.000000
657000,,210.000000
658000,,191.100000
659000,,191.100000
660000,,165.000000
661000,,165.000000
662000,,156.310000
663000,,156.310000
664000,,148.210000
665000,,148.210000
666000,,165.000000
667000,,165.000000
668000,,165.000000
669000,,165.000000
670000,,273.200000
671000,,273.200000
672000,,148.210000
673000,,148.210000
674000,,174.100000
675000,,174.100000
676000,,148.510000
677000,,148.510000
678000,,121.410000
679000,,121.410000
680000,,210.100000
681000,,210.100000
682000,,148.810000
683000,,148.810000
684000,,148.810000
685000,,148.810000
686000,,148.810000
687000,,165.710000
688000,,165.710000
689000,,148.810000
690000,,148.810000
691000,,165.410000
692000,,165.410000
693000,,156.610000
694000,,156.610000
695000,,156.610000
696000,,156.610000
697000,,209.900000
698000,,209.900000
699000,,156.610000
700000,,156.610000
701000,,165.710000
702000,,165.710000
703000,,112.610000
704000,,112.610000
705000,,148.110000
706000,,148.110000
707000,,148.410000
708000,,148.410000
709000,,121.110000
710000,,121.110000
711000,,121.110000
712000,,121.110000
713000,,121.410000
714000,,121.410000
715000,,101.410000
716000,,101.410000
717000,,147.810000
718000,,147.810000
719000,,147.810000
720000,,147.810000
721000,,209.800000
722000,,209.800000
723000,,148.810000
724000,,148.810000
725000,,165.710000
726000,,165.710000
727000,,165.710000
728000,,156.610000
729000,,156.610000
730000,,191.900000
731000,,191.900000
732000,,157.210000
733000,,157.210000
734000,,137.310000
735000,,137.310000
736000,,121.410000
737000,,121.410000
738000,,156.610000
739000,,156.610000
740000,,165.410000
741000,,165.410000
742000,,165.410000
743000,,165.410000
744000,,165.710000
745000,,165.710000
746000,,157.210000
747000,,157.210000
748000,,147.810000
749000,,147.810000
750000,,165.410000
751000,,165.410000
752000,,147.810000
753000,,147.810000
754000,,145.410000
755000,,145.410000
756000,,210.500000
757000,,210.500000
758000,,165.300000
759000,,165.300000
760000,,156.610000
761000,,156.610000
762000,,166.110000
763000,,166.110000
764000,,156.910000
765000,,156.910000
766000,,156.610000
767000,,156.610000
768000,,156.610000
769000,,165.710000
770000,,165.710000
771000,,192.100000
772000,,192.100000
773000,,135.810000
774000,,135.810000
775000,,165.710000
776000,,165.710000
777000,,156.610000
778000,,156.610000
779000,,166.010000
780000,,166.010000
781000,,156.910000
782000,,156.910000
783000,,156.910000
784000,,156.910000
785000,,156.910000
786000,,156.910000
787000,,137.910000
788000,,137.910000
789000,,156.910000
790000,,156.910000
791000,,156.910000
792000,,156.910000
793000,,156.910000
794000,,156.910000
795000,,156.910000
796000,,156.910000
797000,,156.910000
798000,,156.910000
799000,,156.910000
800000,,156.910000
801000,,148.110000
802000,,148.110000
803000,,148.110000
804000,,148.110000
805000,,148.110000
806000,,148.110000
807000,,156.910000
808000,,156.910000
809000,,135.110000
810000,,135.110000
811000,,135.110000
812000,,157.010000
813000,,157.010000
814000,,157.010000
815000,,157.010000
816000,,157.010000
817000,,157.010000
818000,,157.010000
819000,,157.010000
820000,,201.200000
821000,,201.200000
822000,,137.810000
823000,,137.810000
824000,,137.810000
825000,,137.810000
826000,,129.810000
827000,,129.810000
828000,,166.610000
829000,,166.610000
830000,,219.000000
831000,,219.000000
832000,,219.000000
833000,,219.000000
834000,,173.300000
835000,,173.300000
836000,,180.200000
837000,,180.200000
838000,,121.410000
839000,,121.410000
840000,,165.710000
841000,,165.710000
842000,,165.710000
843000,,165.710000
844000,,253.900000
845000,,253.900000
846000,,165.610000
847000,,165.610000
848000,,165.410000
849000,,165.410000
850000,,174.400000
851000,,174.400000
852000,,210.300000
853000,,210.300000
854000,,210.300000
855000,,145.410000
856000,,145.410000
857000,,173.300000
858000,,173.300000
859000,,201.200000
860000,,201.200000
861000,,210.000000
862000,,210.000000
863000,,210.300000
864000,,210.300000
865000,,209.900000
866000,,209.900000
867000,,210.100000
868000,,210.100000
869000,,165.710000
870000,,165.710000
871000,,165.710000
872000,,165.710000
873000,,193.200000
874000,,193.200000
875000,,166.010000
876000,,166.010000
877000,,193.200000
878000,,193.200000
879000,,183.400000
880000,,183.400000
881000,,165.710000
882000,,165.710000
883000,,210.200000
884000,,210.200000
885000,,165.910000
886000,,165.910000
887000,,201.200000
888000,,201.200000
889000,,165.910000
890000,,165.910000
891000,,210.500000
892000,,210.500000
893000,,166.010000
894000,,166.010000
895000,,201.500000
896000,,201.500000
897000,,201.500000
898000,,166.010000
899000,,166.010000
900000,,166.010000
901000,,166.010000
902000,,166.210000
903000,,166.210000
904000,,165.510000
905000,,165.510000
906000,,166.310000
907000,,166.310000
908000,,166.610000
909000,,166.610000
910000,,166.310000
911000,,166.310000
912000,,201.810000
913000,,201.810000
914000,,175.610000
915000,,175.610000
916000,,156.610000
917000,,156.610000
918000,,157.710000
919000,,157.710000
920000,,210.500000
921000,,210.500000
922000,,210.300000
923000,,210.300000
924000,,210.700000
925000,,210.700000
926000,,201.400000
927000,,201.400000
928000,,264.300000
929000,,264.300000
930000,,237.600000
931000,,237.600000
932000,,201.200000
933000,,201.200000
934000,,201.400000
935000,,201.400000
936000,,122.010000
937000,,122.010000
938000,,122.010000
939000,,122.010000
940000,,122.010000
941000,,122.010000
942000,,122.010000
943000,,156.910000
944000,,156.910000
945000,,202.500000
946000,,202.500000
947000,,210.700000
948000,,210.700000
949000,,210.810000
950000,,210.810000
951000,,156.910000
952000,,156.910000
953000,,192.300000
954000,,192.300000
955000,,156.910000
956000,,156.910000
957000,,174.200000
958000,,174.200000
959000,,201.000000
960000,,201.000000
961000,,167.010000
962000,,167.010000
963000,,121.410000
964000,,121.410000
965000,,159.310000
966000,,159.310000
967000,,219.400000
968000,,219.400000
969000,,236.800000
970000,,236.800000
971000,,165.710000
972000,,165.710000
973000,,114.000000
974000,,114.000000
975000,,166.010000
976000,,166.010000
977000,,114.000000
978000,,114.000000
979000,,130.810000
980000,,130.810000
981000,,237.000000
982000,,237.000000
983000,,237.000000
984000,,245.900000
985000,,245.900000
986000,,192.810000
987000,,192.810000
988000,,121.410000
989000,,121.410000
990000,,180.200000
991000,,180.200000
992000,,210.100000
993000,,210.100000
994000,,201.000000
995000,,201.000000
996000,,218.800000
997000,,218.800000
998000,,183.100000
999000,,183.100000
1000000,,91.810000
1001000,,91.810000
1001472,,91.810000
